id,label,check,status,lastVerified,sourceUrls
"material","Vật liệu","Ghi loại vật liệu, cốt hoặc loại gỗ và nguồn vật liệu nếu đã xác định.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"thickness","Độ dày","Ghi độ dày theo bản vẽ hoặc đánh dấu là thông tin cần xác nhận.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"units","Đơn vị đo","Dùng một đơn vị thống nhất trong file, PDF và danh sách chi tiết.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"dimensions","Kích thước","Thể hiện kích thước tổng và kích thước từng mã chi tiết.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"quantity","Số lượng","Ghi số lượng riêng cho từng mã chi tiết và tổng số nếu có.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"geometry","Đường cắt và biên dạng","Đánh dấu đường bao, đường cắt trong và phần cần giữ lại.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"holes-grooves","Lỗ và rãnh","Ghi vị trí, mặt thực hiện, hướng và quan hệ với cạnh.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"faces","Mặt gia công","Phân biệt mặt chính, mặt còn lại và hướng lật chi tiết.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"surface-edge","Bề mặt và cạnh","Mô tả lớp phủ hiện có, cạnh để lộ và bước hoàn thiện dự kiến.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"version","Phiên bản dữ liệu","Ghi ngày hoặc mã phiên bản và phần thay đổi gần nhất.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"reference","Bản đối chiếu","Kèm PDF hoặc ảnh thể hiện kích thước và mặt gia công để đối chiếu.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
"open-questions","Thông tin chưa chốt","Đánh dấu rõ nội dung cần trao đổi thay vì tự điền giả định.","Cần Tùng Phát kiểm tra","2026-08-08","https://mdftungphat.com/bai-viet/chuan-bi-file-cnc/; https://mdftungphat.com/cat-cnc-go/; https://mdftungphat.com/gia-cong-cnc-mdf/"
